model_folder,ingredient_id,normalized_name,display_name,category_suggestion,train_count,val_count,test_count,needs_train_images,team_upload_path
ing_00951,951,새우젓,새우젓,기타,0,0,0,Y,data_sources/team_uploads/train/ing_00951/
ing_00952,952,양파즙,양파즙,기타,0,0,0,Y,data_sources/team_uploads/train/ing_00952/
ing_01115,1115,다진쪽파,다진쪽파,기타,0,0,0,Y,data_sources/team_uploads/train/ing_01115/
ing_01125,1125,냉장햄,냉장햄,기타,0,0,0,Y,data_sources/team_uploads/train/ing_01125/
ing_01126,1126,통조림햄,통조림햄,기타,0,0,0,Y,data_sources/team_uploads/train/ing_01126/
ing_01129,1129,새송이버섯 작은것,새송이버섯 작은것,기타,0,0,0,Y,data_sources/team_uploads/train/ing_01129/
ing_01130,1130,깻잎 작은것,깻잎 작은것,기타,0,0,0,Y,data_sources/team_uploads/train/ing_01130/
ing_01131,1131,집간장,집간장,기타,0,0,0,Y,data_sources/team_uploads/train/ing_01131/
ing_01171,1171,쌀부침가루,쌀부침가루,기타,0,0,0,Y,data_sources/team_uploads/train/ing_01171/
ing_01172,1172,부침유,부침유,기타,0,0,0,Y,data_sources/team_uploads/train/ing_01172/
ing_01188,1188,통조림참치,통조림참치,기타,0,0,0,Y,data_sources/team_uploads/train/ing_01188/
ing_01189,1189,파프리카 색깔별로,파프리카 색깔별로,기타,0,0,0,Y,data_sources/team_uploads/train/ing_01189/
ing_01190,1190,케챱,케챱,기타,0,0,0,Y,data_sources/team_uploads/train/ing_01190/
ing_01234,1234,쯔유,쯔유,기타,0,0,0,Y,data_sources/team_uploads/train/ing_01234/
ing_01267,1267,간 깨,간 깨,기타,0,0,0,Y,data_sources/team_uploads/train/ing_01267/
ing_01275,1275,캔햄,캔햄,기타,0,0,0,Y,data_sources/team_uploads/train/ing_01275/
ing_01276,1276,부침가루,부침가루,기타,0,0,0,Y,data_sources/team_uploads/train/ing_01276/
ing_01378,1378,멸치 다시마 육수,멸치 다시마 육수,기타,0,0,0,Y,data_sources/team_uploads/train/ing_01378/
ing_01389,1389,채 썬 당근,채 썬 당근,기타,0,0,0,Y,data_sources/team_uploads/train/ing_01389/
ing_01390,1390,슬라이스햄,슬라이스햄,기타,0,0,0,Y,data_sources/team_uploads/train/ing_01390/
ing_01391,1391,소세지,소세지,기타,0,0,0,Y,data_sources/team_uploads/train/ing_01391/
ing_01420,1420,감자 작은것,감자 작은것,기타,0,0,0,Y,data_sources/team_uploads/train/ing_01420/
ing_01439,1439,꽁치통조림,꽁치통조림,기타,0,0,0,Y,data_sources/team_uploads/train/ing_01439/
ing_01440,1440,신김치,신김치,기타,0,0,0,Y,data_sources/team_uploads/train/ing_01440/
ing_01441,1441,김치국물,김치국물,기타,0,0,0,Y,data_sources/team_uploads/train/ing_01441/
ing_01475,1475,마른새우(꽃새우),마른새우(꽃새우),기타,0,0,0,Y,data_sources/team_uploads/train/ing_01475/
ing_01476,1476,조림간장,조림간장,기타,0,0,0,Y,data_sources/team_uploads/train/ing_01476/
ing_01687,1687,Apple,Apple,채소,0,0,0,Y,data_sources/team_uploads/train/ing_01687/
